"","X1","X2","intercept.M.vs.rest","coeff.M.vs.rest","pVal.M.vs.rest","pValHolm.M.vs.rest","qValBH.M.vs.rest","notMiss1.M.vs.rest","notMiss0.M.vs.rest"
"ADAMTS13_Q76LX8-2","Q76LX8-2","ADAMTS13",18.1395179225024,-0.394989845386098,0.0162674213262556,1,0.0470530788899221,14,39
"F12_P00748","P00748","F12",23.5970402491272,-0.403971736253262,0.0186353025728861,1,0.0528829609989475,19,40
"SERPINB1_P30740","P30740","SERPINB1",19.1471298109345,-0.854341630276053,0.018676138642751,1,0.0528829609989475,15,35
"PROC_P04070;P04070-2","P04070;P04070-2","PROC",20.1654937062808,-0.333280479177487,0.0198612635337418,1,0.0552353077812972,19,40
"PDIA3_P30101","P30101","PDIA3",18.4933559653498,-0.477174803967887,0.0199175645159324,1,0.0552353077812972,18,37
"C4A_P0C0L4","P0C0L4","C4A",26.4249586036372,-0.365566881727169,0.0201934010650803,1,0.0554288253725164,19,40
"ALDOB_P05062","P05062","ALDOB",18.759359809205,1.05365532458911,0.0221393238146827,1,0.060156344506562,18,35
"VNN1_O95497","O95497","VNN1",19.2868434698716,-0.639236202505141,0.022723910445017,1,0.0611273190970958,15,37
"LTF_P02788","P02788","LTF",22.0952632070997,-0.922014214247775,0.0241691509754152,1,0.0643713030929376,19,40
"TPI1_P60174;P60174-3","P60174;P60174-3","TPI1",19.1211051054458,-0.752447238432252,0.0247300734588207,1,0.0652195074551251,16,38
"SLC4A1_P02730","P02730","SLC4A1",20.2954641937378,-1.28271807077858,0.0254532340104313,1,0.0656652526107616,16,36
"PCYOX1_Q9UHG3","Q9UHG3","PCYOX1",20.9511080493032,-0.347761851083472,0.025611549855352,1,0.0656652526107616,19,39
"CFB_P00751","P00751","CFB",26.4471619268046,-0.292761040632382,0.0256314183053159,1,0.0656652526107616,19,40
"CLEC3B_P05452","P05452","CLEC3B",21.6839485659993,-0.287469422892783,0.0260482203070737,1,0.0661035024773851,19,40
"PKM_P14618","P14618","PKM",20.1161074676672,-0.583123034464062,0.0285753510400359,1,0.0718389666333614,19,40
"CFI_P05156","P05156","CFI",24.6824421420293,-0.222191692791305,0.0289105319952134,1,0.0720086398769667,19,40
"ORM2_P19652","P19652","ORM2",24.663161159625,0.427336268886372,0.0300347407574473,1,0.0741224336124159,19,40
"C1QC_P02747","P02747","C1QC",25.4279018120055,0.285304190827712,0.0307493088163753,1,0.0751960370145904,19,40
"TGFBI_Q15582","Q15582","TGFBI",21.2648508681986,0.251404673823967,0.0318369705499292,1,0.0771544601615401,19,40
"ENO1_P06733","P06733","ENO1",20.1063366252376,-0.660293557472383,0.0328444321989515,1,0.0788852880492674,18,40
"MAN1A1_P33908","P33908","MAN1A1",20.0879344239748,0.240214120807202,0.0352151624688581,1,0.0835718406447011,18,40
"HABP2_Q14520;Q14520-2","Q14520;Q14520-2","HABP2",23.0832098308738,-0.211422042255648,0.0354170625780518,1,0.0835718406447011,19,40
"ITIH3_Q06033;Q06033-2","Q06033;Q06033-2","ITIH3",24.136031094179,0.373134183415601,0.0370665372985179,1,0.086703465506968,19,40
